Line,Section,Number,Length,Grade,Speed,Infrastructure,Switch,Positions,Station,Side,Name,Tunnel,Crossing,Yard,Direction,Controllers,Relative,Pass
Green,A,1,100,0.5,12.5000001,,1,"-1, 13",0,,,,0,0,2,1,0,-1
Green,A,2,100,1,12.5000001,STATION; PIONEER,0,,1,L,Pioneer,0,0,0,2,1,1,
Green,A,3,100,1.5,12.5000001,,0,,0,,,,0,0,2,1,2,
Green,B,4,100,2,12.5000001,,0,,0,,,,0,0,2,1,3,
Green,B,5,100,3,12.5000001,,0,,0,,,,0,0,2,1,4,
Green,B,6,100,4,12.5000001,,0,,0,,,,0,0,2,1,5,
Green,C,7,100,5,12.5000001,,0,,0,,,,0,0,2,1,6,
Green,C,8,100,0,12.5000001,,0,,0,,,,0,0,2,1,7,
Green,C,9,100,-5,12.5000001,STATION; EDGEBROOK,0,,1,L,Edgebrook,0,0,0,2,1,8,
Green,C,10,100,-4.5,12.5000001,,0,,0,,,,0,0,2,1,9,
Green,C,11,100,-4,12.5000001,,0,,0,,,,0,0,2,1,10,
Green,C,12,100,-3,12.5000001,SWITCH (12-13; 1-13),1,"13, -1",0,,,,0,0,2,1,11,1
Green,D,13,150,0,19.4444446,,1,"12, 1",0,,,,0,0,3,1,12,-1
Green,D,14,150,0,19.4444446,,0,,0,,,,0,0,3,1,13,
Green,D,15,150,0,19.4444446,,0,,0,,,,0,0,3,1,14,
Green,D,16,150,0,19.4444446,STATION PNC PARK,0,,1,LR,PNC Park,0,0,0,3,1,15,
Green,E,17,150,0,16.6666668,,0,,0,,,,0,0,3,1,16,
Green,E,18,150,0,16.6666668,,0,,0,,,,0,0,3,1,17,
Green,E,19,150,0,16.6666668,RAILWAY CROSSING,0,,0,,,,1,0,3,1,18,
Green,E,20,150,0,16.6666668,,0,,0,,,,0,0,3,1,19,
Green,F,21,300,0,19.4444446,,0,,0,,,,0,0,3,2,0,
Green,F,22,300,0,19.4444446,STATION; WHITED,0,,1,LR,Whited,1,0,0,3,2,1,
Green,F,23,300,0,19.4444446,,0,,0,,,,0,0,3,2,2,
Green,F,24,300,0,19.4444446,,0,,0,,,,0,0,3,2,3,
Green,F,25,200,0,19.4444446,,0,,0,,,,0,0,3,2,4,
Green,F,26,100,0,19.4444446,,0,,0,,,,0,0,3,2,5,
Green,F,27,50,0,8.3333334,,0,,0,,,,0,0,3,2,6,
Green,F,28,50,0,8.3333334,,1,"29, 150",0,,,,0,0,3,2,7,1
Green,G,29,50,0,8.3333334,SWITCH (29-30; 29-150),1,"28, -1",0,,,,0,0,1,2,8,-1
Green,G,30,50,0,8.3333334,,0,,0,,,,0,0,1,2,9,
Green,G,31,50,0,8.3333334,STATION; SOUTH BANK,0,,1,L,South Bank,0,0,0,1,2,10,
Green,G,32,50,0,8.3333334,,0,,0,,,,0,0,1,2,11,
Green,H,33,50,0,8.3333334,,0,,0,,,,0,0,1,3,0,
Green,H,34,50,0,8.3333334,,0,,0,,,,0,0,1,3,1,
Green,H,35,50,0,8.3333334,,0,,0,,,,0,0,1,3,2,
Green,I,36,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,3,
Green,I,37,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,4,
Green,I,38,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,5,
Green,I,39,50,0,8.3333334,STATION; CENTRAL; UNDERDROUND,0,,1,R,Central,0,0,0,1,3,6,
Green,I,40,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,7,
Green,I,41,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,8,
Green,I,42,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,9,
Green,I,43,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,10,
Green,I,44,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,11,
Green,I,45,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,12,
Green,I,46,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,13,
Green,I,47,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,14,
Green,I,48,50,0,8.3333334,STATION; INGLEWOOD; UNDERGROUND,0,,1,R,Inglewood,0,0,0,1,3,15,
Green,I,49,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,16,
Green,I,50,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,17,
Green,I,51,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,18,
Green,I,52,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,19,
Green,I,53,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,20,
Green,I,54,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,21,
Green,I,55,50,0,8.3333334,UNDERGROUND,0,,0,,,,0,0,1,3,22,
Green,I,56,50,0,8.3333334,STATION; OVERBROOK; UNDERGROUND,0,,1,R,Overbrook,0,0,0,1,3,23,
Green,I,57,50,0,8.3333334,SWITCH TO YARD (57-yard),1,"0, 58",0,,,,0,0,1,3,24,1
Green,J,58,50,0,8.3333334,,1,"-1, 57",0,,,,0,0,1,4,0,-1
Green,J,59,50,0,8.3333334,,0,,0,,,,0,0,1,4,1,
Green,J,60,50,0,8.3333334,,0,,0,,,,0,0,1,4,2,
Green,J,61,50,0,8.3333334,,0,,0,,,,0,0,1,4,3,
Green,J,62,50,0,8.3333334,SWITCH FROM YARD (Yard-63),1,"-1, 63",0,,,,0,0,1,4,4,1
Green,K,63,100,0,19.4444446,,1,"62, 0",0,,,,0,0,1,4,5,-1
Green,K,64,100,0,19.4444446,,0,,0,,,,0,0,1,4,6,
Green,K,65,200,0,19.4444446,STATION; GLENBURY,0,,1,R,Glenbury,1,0,0,1,4,7,
Green,K,66,200,0,19.4444446,,0,,0,,,,0,0,1,4,8,
Green,K,67,100,0,11.1111112,,0,,0,,,,0,0,1,4,9,
Green,K,68,100,0,11.1111112,,0,,0,,,,0,0,1,4,10,
Green,L,69,100,0,11.1111112,,0,,0,,,,0,0,1,4,11,
Green,L,70,100,0,11.1111112,,0,,0,,,,0,0,1,4,12,
Green,L,71,100,0,11.1111112,,0,,0,,,,0,0,1,4,13,
Green,L,72,100,0,11.1111112,,0,,0,,,,0,0,1,4,14,
Green,L,73,100,0,11.1111112,STATION; DORMONT,0,,1,R,Dormont,0,0,0,1,4,15,
Green,M,74,100,0,11.1111112,,0,,0,,,,0,0,1,5,0,
Green,M,75,100,0,11.1111112,,0,,0,,,,0,0,1,5,1,
Green,M,76,100,0,11.1111112,SWITCH (76-77;77-101),1,"77, -1",0,,,,0,0,1,5,2,1
Green,N,77,300,0,19.4444446,STATION; MT LEBANON,1,"101, 76",1,LR,Mt Lebanon,0,0,0,3,5,3,-1
Green,N,78,300,0,19.4444446,,0,,0,,,,0,0,3,5,4,
Green,N,79,300,0,19.4444446,,0,,0,,,,0,0,3,5,5,
Green,N,80,300,0,19.4444446,,0,,0,,,,0,0,3,5,6,
Green,N,81,300,0,19.4444446,,0,,0,,,,0,0,3,6,0,
Green,N,82,300,0,19.4444446,,0,,0,,,,0,0,3,6,1,
Green,N,83,300,0,19.4444446,,0,,0,,,,0,0,3,6,2,
Green,N,84,300,0,19.4444446,,0,,0,,,,0,0,3,6,3,
Green,N,85,300,0,19.4444446,SWITCH (85-86; 100-85),1,"86, 100",0,,,,0,0,3,6,4,1
Green,O,86,100,0,6.9444445,,1,"85, -1",0,,,,0,0,1,6,5,-1
Green,O,87,86.6,0,6.9444445,,0,,0,,,,0,0,1,6,6,
Green,O,88,100,0,6.9444445,STATION; POPLAR,0,,1,L,Poplar,0,0,0,1,6,7,
Green,P,89,75,-0.5,6.9444445,,0,,0,,,,0,0,1,6,8,
Green,P,90,75,-1,6.9444445,,0,,0,,,,0,0,1,6,9,
Green,P,91,75,-2,6.9444445,,0,,0,,,,0,0,1,6,10,
Green,P,92,75,0,6.9444445,,0,,0,,,,0,0,1,6,11,
Green,P,93,75,2,6.9444445,,0,,0,,,,0,0,1,6,12,
Green,P,94,75,1,6.9444445,,0,,0,,,,0,0,1,6,13,
Green,P,95,75,0.5,6.9444445,,0,,0,,,,0,0,1,6,14,
Green,P,96,75,0,6.9444445,STATION;   CASTLE SHANNON,0,,1,L,Castle Shannon,0,0,0,1,6,15,
Green,P,97,75,0,6.9444445,,0,,0,,,,0,0,1,6,16,
Green,Q,98,75,0,6.9444445,,0,,0,,,,0,0,1,6,17,
Green,Q,99,75,0,6.9444445,,0,,0,,,,0,0,1,6,18,
Green,Q,100,75,0,6.9444445,,1,"-1, 85",0,,,,0,0,1,6,19,1
Green,R,101,35,0,7.22222228,,1,"-1, 77",0,,,,0,0,1,5,7,-1
Green,S,102,100,0,7.77777784,,0,,0,,,,0,0,1,5,8,
Green,S,103,100,0,7.77777784,,0,,0,,,,0,0,1,5,9,
Green,S,104,80,0,7.77777784,,0,,0,,,,0,0,1,5,10,
Green,T,105,100,0,7.77777784,STATION; DORMONT,0,,1,R,Dormont,0,0,0,1,5,11,
Green,T,106,100,0,7.77777784,,0,,0,,,,0,0,1,5,12,
Green,T,107,90,0,7.77777784,,0,,0,,,,0,0,1,5,13,
Green,T,108,100,0,7.77777784,,0,,0,,,,0,0,1,5,14,
Green,T,109,100,0,7.77777784,,0,,0,,,,0,0,1,5,15,
Green,U,110,100,0,8.3333334,,0,,0,,,,0,0,1,5,16,
Green,U,111,100,0,8.3333334,,0,,0,,,,0,0,1,5,17,
Green,U,112,100,0,8.3333334,,0,,0,,,,0,0,1,5,18,
Green,U,113,100,0,8.3333334,,0,,0,,,,0,0,1,5,19,
Green,U,114,162,0,8.3333334,STATION; GLENBURY,0,,1,R,Glenbury,1,0,0,1,5,20,
Green,U,115,100,0,8.3333334,,0,,0,,,,0,0,1,5,21,
Green,U,116,100,0,8.3333334,,0,,0,,,,0,0,1,5,22,
Green,V,117,50,0,4.1666667,,0,,0,,,,0,0,1,5,23,
Green,V,118,50,0,4.1666667,,0,,0,,,,0,0,1,5,24,
Green,V,119,40,0,4.1666667,,0,,0,,,,0,0,1,5,25,
Green,V,120,50,0,4.1666667,,0,,0,,,,0,0,1,5,26,
Green,V,121,50,0,4.1666667,,0,,0,,,,0,0,1,5,27,
Green,W,122,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,12,
Green,W,123,50,0,5.5555556,SWITCH TO YARD (57-yard),0,,1,R,Overbrook,0,0,0,1,2,13,
Green,W,124,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,14,
Green,W,125,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,15,
Green,W,126,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,16,
Green,W,127,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,17,
Green,W,128,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,18,
Green,W,129,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,19,
Green,W,130,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,20,
Green,W,131,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,21,
Green,W,132,50,0,5.5555556,STATION; INGLEWOOD; UNDERGROUND,0,,1,L,Inglewood,0,0,0,1,2,22,
Green,W,133,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,23,
Green,W,134,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,24,
Green,W,135,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,25,
Green,W,136,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,26,
Green,W,137,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,27,
Green,W,138,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,28,
Green,W,139,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,29,
Green,W,140,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,30,
Green,W,141,50,0,5.5555556,STATION; CENTRAL; UNDERDROUND,0,,1,R,Central,0,0,0,1,2,31,
Green,W,142,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,32,
Green,W,143,50,0,5.5555556,UNDERGROUND,0,,0,,,,0,0,1,2,33,
Green,X,144,50,0,5.5555556,,0,,0,,,,0,0,1,2,34,
Green,X,145,50,0,5.5555556,,0,,0,,,,0,0,1,2,35,
Green,X,146,50,0,5.5555556,,0,,0,,,,0,0,1,2,36,
Green,Y,147,50,0,5.5555556,,0,,0,,,,0,0,1,2,37,
Green,Y,148,184,0,5.5555556,,0,,0,,,,0,0,1,2,38,
Green,Y,149,40,0,5.5555556,,0,,0,,,,0,0,1,2,39,
Green,Z,150,35,0,5.5555556,,1,"-1, 28",0,,,,0,0,1,2,40,1
